descricao_produto,IA_PRODUTO,IA_LABORATORIO,IA_TIPO DA UNIDADE,IA_QUANTIDADE MG (POR UNIDADE/ML),IA_QUANTIDADE ML,IA_QUANTIDADE UI,IA_QUANTIDADE UNIDADES
FLOGORAL COLUTORIO 150 ML TRAD,FLOGORAL,,SOLUCAO,,150,,
FLOGORAL SPR 30 ML MENTA,FLOGORAL,,FRASCO,,30,,
FLOGORAL SPRAY MENTA 30 ML,FLOGORAL,,FRASCO,,30,,
FLOGORAL SPRAY,FLOGORAL,,FRASCO,,,,
"FLUINASAL 0 , 9 % SPR JATO CONTINUO 100 ML",FLUINASAL,,FRASCO,,100,,
FLOGORAL COLUT 150 ML,FLOGORAL,,SOLUCAO,,150,,
FLOGORAL COLT MEN 250 ML,FLOGORAL,,SOLUCAO,,250,,
FLOGORAL COLUTORIO MENTA 250 ML,FLOGORAL,,SOLUCAO,,250,,
"FLUINASAL 0 , 9 % SPRAY 100 ML",FLUINASAL,,FRASCO,,100,,
FLOGORAL SUSP,FLOGORAL,,FRASCO,,,,
"SULFAMETAXOZOL + TRIMETOPRIMA 400 MG + 80 MG ,",SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
FLORAL AMBIENTE,FLORAL AMBIENTE,,,,,,
FLORALAC SAB FRUTAS COM 120 ML,FLORALAC,,SOLUCAO,,120,,
FLORALYTE 45 LAR SOL 500 ML,FLORALYTE,,SOLUCAO,,500,,
FLORATIL PED COM 4 ENV X 1 G,FLORATIL,,ENVELOPE,,,,4
FLORATIL PEDIATRICO C 4 ENVELOPES,FLORATIL,,ENVELOPE,,,,4
FLORATIL COMPRIMIDOS,FLORATIL,,COMPRIMIDO/CAPSULA,,,,
FLORATIL PACK,FLORATIL PACK,,,,,,
FLORAX AD SM 5 FLAC COM 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX ADT 5 FLAC COM 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX CX 5 FLAC X 5 ML ADU,FLORAX,,FRASCO,,5,,5
FLORAX CX 5 FLAC X 5 ML ADU SM,FLORAX,,FRASCO,,5,,5
FLORAX CX 5 FLAC X 5 ML PED,FLORAX,,FRASCO,,5,,5
FLORAX FLACONETE 5 ML ADT FRS CX COM 100,FLORAX,,FRASCO,,5,,100
FLORAX PED 5 FLAC COM 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX SM AD C 5 FLAC 5 ML UVA,FLORAX,,FRASCO,,5,,5
FLORAX SM AD COM 5 FLAC 5 ML UVA,FLORAX,,FRASCO,,5,,5
FLORAX SM ADT 5 FLAC COM 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX SM ADU CX 5 FLAC 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX SM CX 5 FLAC 5 ML AD,FLORAX,,FRASCO,,5,,5
FLORAX SM CX 5 FLAC 5 ML PED,FLORAX,,FRASCO,,5,,5
FLORAX SM PED 5 FLAC COM 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX SM PED CX 5 FLAC 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX PED SM 5 ML,FLORAX,,SOLUCAO,,5,,
FLORAX AD SUSP C 5 FLAC 5 ML,FLORAX,,FRASCO,,5,,5
FLORAX 5 FLACONETES AD,FLORAX,,FRASCO,,,,5
FLORAX AD COM 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX ADT 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX PED 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SM AD COM 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SM ADT 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SM ADT UVA 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SM ATB ADT FRAMBO 10 FLAC,FLORAX,,FRASCO,,,,10
FLORAX SM ATB PED FRAMBO 10 FLAC,FLORAX,,FRASCO,,,,10
FLORAX SM INFANTIL CX 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SM PED 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SM PED COM 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SM PED UVA 5 FLAC,FLORAX,,FRASCO,,,,5
FLORAX SACHES,FLORAX,,ENVELOPE,,,,
SULFAMETAXOZOL + TRIMETOPRIMA 400 MG + 80 MG CX C 400 PRATI,SULFAMETOXAZOL + TRIMETOPRIMA,PRATI DONADUZZI,UNIDADE,"480,00",,,400
SULFAMETAXOZOL + TRIMETOPRINA 400 MG + 80 MG CX C 400 PRATI,SULFAMETOXAZOL + TRIMETOPRIMA,PRATI DONADUZZI,UNIDADE,"480,00",,,400
FLORAX,FLORAX,,,,,,
FLORAX ADULTO,FLORAX,,,,,,
FLORAX PEDIATRICO,FLORAX,,,,,,
FLORAX SM,FLORAX,,,,,,
FLORAX SM ADULTO,FLORAX,,,,,,
FLORAX HYDRA FR 500 ML SB GUARANA,FLORAX HYDRA,,FRASCO,,500,,
FLORAX HYDRA 45 GUARANA 500 ML,FLORAX HYDRA,,SOLUCAO,,500,,
FLORAX HYDRA 45 NAT SOL 500 ML,FLORAX HYDRA,,SOLUCAO,,500,,
FLORENCE PRO,FLORENCE PRO,,,,,,
FLORIPA 8 ML,FLORIPA,,SOLUCAO,,8,,
FLOXICLIN 10 ML,FLOXICLIN,,SOLUCAO,,10,,
FLOXICLIN INJ 50 ML,FLOXICLIN,,INJETAVEL,,50,,
FLOXICLIN 50 ML,FLOXICLIN,,SOLUCAO,,50,,
FLOXICLIN 50 ML REG 8 708 / 03 ANIM DE PROD LISTA NEG PIS / COFINS 10147 / 2000,FLOXICLIN,,SOLUCAO,,50,,
FLUCONAZOL 150 COMPRIMIDOS,FLUCONAZOL,,COMPRIMIDO/CAPSULA,,,,150
FLUCONAZOL,FLUCONAZOL,,,,,,
FLUIBRON GTS 50 ML,FLUIBRON,,GOTAS,,50,,
FLUIBRON SOL FR GTS 50 ML,FLUIBRON,,GOTAS,,50,,
FLUIBRON XPE FR 100 ML ADU,FLUIBRON,,FRASCO,,100,,
FLUIBRON GOTAS,FLUIBRON,,GOTAS,,,,
FLUIDELAN 100 ML S,FLUIDELAN,,SOLUCAO,,100,,
SULFAMETAXOZOL + TRIMETROPINA 400 MG + 80 MG CX C 200,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,200
FLUIMUCIL 10 % COM 5 F A 3 ML,FLUIMUCIL,,AMPOLA OU FRASCO-AMPOLA,,15,,5
FLUIMUCIL 10 % SOL INJ 5 AMPOLAS 3 ML,FLUIMUCIL,,AMPOLA OU FRASCO-AMPOLA,,15,,5
FLUIMUCIL 20 MG XPE FR 120 ML PE,FLUIMUCIL,,FRASCO,,120,,
FLUIMUCIL 20 MG XPE PED 120 ML,FLUIMUCIL,,FRASCO,,120,,
FLUIMUCIL 40 MG XPE ADU 120 ML,FLUIMUCIL,,FRASCO,,120,,
FLUIMUCIL 40 MG XPE FR 120 ML AD,FLUIMUCIL,,FRASCO,,120,,
FLUIMUCIL XPE 40 MG,FLUIMUCIL,,FRASCO,,,,
FLUIMUCIL NASAL SOL 20 ML,FLUIMUCIL NASAL,,SOLUCAO,,20,,
"FLUINASAL 100 ML CLORETO DE SODIO 0 , 9 % CATAR",FLUINASAL,,SOLUCAO,,100,,
FLUIR REFIL COM 60,FLUIR,,INALADOR,,,,60
SULFAMETAZOL + TRIMETOPRIMA 400 / 80 COM 20,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,20
FLUISOLVAN XPE ADT,FLUISOLVAN,,FRASCO,,,,
FLUIV XAP ADULTO 120 ML,FLUIV,,FRASCO,,120,,
FLUIVE C IMUNO 120 ML,FLUIVE C IMUNO,,SOLUCAO,,120,,
FLUMAX 20 ML,FLUMAX,,SOLUCAO,,20,,
FLUMAX 50 ML,FLUMAX,,SOLUCAO,,50,,
FLUMAX 100 ML,FLUMAX,,SOLUCAO,,100,,
FLUMEDIN 50 ML,FLUMEDIN,,SOLUCAO,,50,,
FLUNIXIN INJETAVEL 10 ML,FLUNIXIN,,INJETAVEL,,10,,
FLUNIXIN 10 ML,FLUNIXIN,,SOLUCAO,,10,,
FLUNIXIN INJETAVEL 50 ML,FLUNIXIN,,INJETAVEL,,50,,
FLUNIXINA IMJ 10 ML FLUNIXIN,FLUNIXINA,,INJETAVEL,,10,,
FLUNIXINA INJ 50 ML,FLUNIXINA,,INJETAVEL,,50,,
FLUNIXINA INJ 50 ML FLUMAX,FLUNIXINA,,INJETAVEL,,50,,
SULFAMETAZOL + TRIMETROPRIMA 400 MG + 80 MG PRATI,SULFAMETAZOL + TRIMETROPRIMA,PRATI DONADUZZI,UNIDADE,"480,00",,,
SULFAMETAZOXOL + TRIMETOPRINA 400 MG + 80 MG CX C 400 PRATI,SULFAMETAZOXOL + TRIMETOPRINA,PRATI DONADUZZI,UNIDADE,"480,00",,,400
SULFAMETOXAZOL + TRIMET 400 + 80 MG HEXAL,SULFAMETOXAZOL + TRIMETOPRIMA,HEXAL,UNIDADE,"480,00",,,
SULFAMETOXAZOL + TRIMETOPRIMA 10,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,,,,10
FLUTINOL COL 5 ML,FLUTINOL,,SOLUCAO,,5,,
FLUTINOL SOLUCAO OFTALMICA 5 ML,FLUTINOL,,SOLUCAO,,5,,
FLUTIVATE CR 15 G,FLUTIVATE,,BISNAGA,,,,
FLUTIVATE CREME,FLUTIVATE,,BISNAGA,,,,
FLUVI REFIL COM 60,FLUVI,,INALADOR,,,,60
FLUVIRAL DIA ENV 4 COMPRIMIDOS,FLUVIRAL DIA,,COMPRIMIDO/CAPSULA,,,,4
FLUVIRAL NOITE DISP C 4 COMPRIMIDOS NE,FLUVIRAL NOITE,,COMPRIMIDO/CAPSULA,,,,4
FLUVIRAL NOITE ENV 4 COMPRIMIDOS,FLUVIRAL NOITE,,COMPRIMIDO/CAPSULA,,,,4
FLUX,FLUX,,,,,,
FLUXCETAN ADT S / MENTA 240 ML,FLUXCETAN ADT S/MENTA,,SOLUCAO,,240,,
FOLACIN 30 ML GTS,FOLACIN,,GOTAS,,30,,
FOLACIN GOTAS 30 ML,FOLACIN,,GOTAS,,30,,
FOLACIN GTS 30 ML,FOLACIN,,GOTAS,,30,,
FOLACIN COMPRIMIDOS,FOLACIN,,COMPRIMIDO/CAPSULA,,,,
FOLACIN,FOLACIN,,,,,,
FOLDAN 5 MG POM BG 45 G,FOLDAN,,BISNAGA,,,,
FOLDAN PDA BG COM 45 GR,FOLDAN,,BISNAGA,,,,
FOLDAN POM 45 G,FOLDAN,,BISNAGA,,,,
FOLDAN POM 45 GR,FOLDAN,,BISNAGA,,,,
FOLIANE MYO 30 SACHE,FOLIANE MYO,,ENVELOPE,,,,30
FOLIFER GOTAS 30 ML,FOLIFER,,GOTAS,,30,,
FOLIFER GTS 30 ML,FOLIFER,,GOTAS,,30,,
FOLIFER 30 ML,FOLIFER,,SOLUCAO,,30,,
FOLIFER SOL ORAL COM 100 ML,FOLIFER,,SOLUCAO,,100,,
FOLIFER 30 COMPRIMIDOS,FOLIFER,,COMPRIMIDO/CAPSULA,,,,30
FOLIFER 30 COMPRIMIDOS REV,FOLIFER,,COMPRIMIDO/CAPSULA,,,,30
FOLIFER COM 30 COMPRIMIDOS,FOLIFER,,COMPRIMIDO/CAPSULA,,,,30
FOLIFER COMPRIMIDOS,FOLIFER,,COMPRIMIDO/CAPSULA,,,,
FOLIFER COMPRIMIDOS REV 1 X 30,FOLIFER,,COMPRIMIDO/CAPSULA,,,,30
FOLIFER CX 30 COMPRIMIDOS,FOLIFER,,COMPRIMIDO/CAPSULA,,,,30
FOLIFER GTS,FOLIFER,,GOTAS,,,,
SULFAMETOXAZOL + TRIMETOPRIMA 20,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,,,,20
FOLIFER,FOLIFER,,,,,,
FOLIFER FERRO GOTAS,FOLIFER FERRO,,GOTAS,,,,
FONT D GOTAS FR 10 ML,FONT D,,GOTAS,,10,,
FONT D 10 ML,FONT D,,SOLUCAO,,10,,
FONT D 2 000 UI 30 COMPRIMIDOS,FONT D,,COMPRIMIDO/CAPSULA,,,2000,30
FONTOL,FONTOL,,,,,,
FOR GAS SIMETICONA,FOR GAS SIMETICONA,,,,,,
FORCEPS AD,FORCEPS AD,,,,,,
FORFIG 200 COM 60 COMPRIMIDOS,FORFIG,,COMPRIMIDO/CAPSULA,,,,60
FORFIG COMPRIMIDOS,FORFIG,,COMPRIMIDO/CAPSULA,,,,
SULFAMETOXAZOL + TRIMETOPRIMA 40,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,,,,40
FORFIG,FORFIG,,,,,,
FORMALDEIDO 1000 ML PA,FORMALDEIDO,,SOLUCAO,,1000,,
FORMALDEIDO SOLUCAO,FORMALDEIDO,,SOLUCAO,,,,
FORMICIDA ATTAMIX PO,FORMICIDA ATTAMIX,,PO,,,,
FORMOCRESOL 10 ML,FORMOCRESOL,,SOLUCAO,,10,,
FORMOCRESOL,FORMOCRESOL,,,,,,
FORMOPED 400 ML,FORMOPED,,SOLUCAO,,400,,
FORMOPED 400 ML / 188 G,FORMOPED,,SOLUCAO,,400,,
FORMOPED 400 ML 188 G,FORMOPED,,SOLUCAO,,400,,
FORMOPED,FORMOPED,,,,,,
SULFAMETOXAZOL + TRIMETOPRIMA 400 + 80 MG,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
FORMULA MAGISTRAL INJETAVEL,FORMULA MAGISTRAL,,INJETAVEL,,,,
FORMULA MAGISTRAL,FORMULA MAGISTRAL,,,,,,
SULFAMETOXAZOL + TRIMETOPRIMA 400 + 80 MG VITAM,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
SULFAMETOXAZOL + TRIMETOPRIMA 400 MG + 80 MG,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
FORM MANIPULADA,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210600689,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210700185,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210700186,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210700262,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210700425,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210700426,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210700427,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210700720,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210800013,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210800044,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210800166,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210900305,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 210900591,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 211000603,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 211100609,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 211100610,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 211200157,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220700461,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220700465,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220703797,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220703871,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220703924,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220703988,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220703989,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220703990,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220800358,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220900073,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 220900167,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 221000360,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 221000363,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 221200067,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 221200285,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 221200331,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 221200336,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 230300073,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 230500221,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 231100449,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 240100153,FORMULA MANIPULADA,,,,,,
FORMULA MANIPULADA 240200461,FORMULA MANIPULADA,,,,,,
FORMULA 1 CP UNIDADES COM OMEGA POWER COM 1 UN,FORMULA OMEGA POWER,,COMPRIMIDO/CAPSULA,,,,1
SULFAMETOXAZOL + TRIMETOPRIMA UND 400 MG + 80 MG,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
SULFAMETOXAZOL + TRIMETROPIMA 400 MG + 80 MG,SULFAMETOXAZOL + TRIMETROPIMA,,UNIDADE,"480,00",,,
SULFAMETOXAZOL + TRIMETROPINA 400 + 80 MG VITAMEDIC,SULFAMETOXAZOL + TRIMETROPINA,VITAMEDIC,UNIDADE,"480,00",,,
FORTEMIL 500 ML,FORTEMIL,,SOLUCAO,,500,,
FORTEMIL 500 ML CX COM 12 UND,FORTEMIL,,SOLUCAO,,500,,12
FORTEMIL SORO VITAMINADO 500 ML,FORTEMIL SORO VITAMINADO,,SOLUCAO,,500,,
FORTEN COM 10 FLAC,FORTEN,,FRASCO,,,,10
SULFAMETOXAZOL + TRIMETROPINA 400 MG + 80 MG CX / 200 PRATI DONADUZZI HOSP,SULFAMETOXAZOL + TRIMETROPINA,PRATI DONADUZZI,UNIDADE,"480,00",,,200
FORTEVIRON COM 60 CAPS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,60
FORTEVIRON 60 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,60
FORTEVIRON C 20 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,20
FORTEVIRON COM 20 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,20
FORTEVIRON COM 60 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,60
FORTEVIRON CX 60 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,60
FORTEVIRON ENV 20 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,20
FORTEVIRON KIT C 120 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,120
FORTEVIRON KIT COM 4 COMPRIMIDOS,FORTEVIRON,,COMPRIMIDO/CAPSULA,,,,4
SULFAMETOXAZOL + TRIMETROPRIMA 400 + 80 MG,SULFAMETOXAZOL + TRIMETROPRIMA,,UNIDADE,"480,00",,,
FORTGAL 50 ML,FORTGAL,,SOLUCAO,,50,,
FORTGAL PLUS 50 ML,FORTGAL PLUS,,SOLUCAO,,50,,
SULFAMETOXAZOL + TRIMETROPRIMA 400 + 80 MG FAB PRATIDONADUZZI,SULFAMETOXAZOL + TRIMETROPRIMA,PRATI DONADUZZI,UNIDADE,"480,00",,,
FORTICE H 30 COMPRIMIDOS,FORTICE H,,COMPRIMIDO/CAPSULA,,,,30
SULFAMETOXAZOL + TRIMETROPRINA 400 + 80 MG VITAMEDIC,SULFAMETOXAZOL + TRIMETROPRINA,VITAMEDIC,UNIDADE,"480,00",,,
SULFAMETOXAZOL 400 MG + TRIMETOPRIMA 80 MG,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
FORXIGA C 30 COMPRIMIDOS,FORXIGA,,COMPRIMIDO/CAPSULA,,,,30
FORXIGA 10 NG L ML 0216,FORXIGA,,SOLUCAO,,,,
SULFAMETOXAZOL 400 MG + TRIMETOPRIMA PRATI DONADUZZI,SULFAMETOXAZOL + TRIMETOPRIMA,PRATI DONADUZZI,UNIDADE,"400,00",,,
SULFAMETOXAZOL 400 MG + TRIMETROPINA 80 MG BELFACTRIM COM 20 BELFACTRIM 105710130007,BELFACTRIM,,UNIDADE,"480,00",,,20
SULFAMETOXAZOL TRIMETOPRIMA,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,,,,
FOSFATASE ALCALINA 2 X 50 ML,FOSFATASE ALCALINA,,SOLUCAO,,50,,2
FOSF DE PREDNISOLONA 60 ML,FOSFATO DE PREDNISOLONA,,SOLUCAO,,60,,
FOSFATO DE SODIO ENEMA FR 130 ML,FOSFATO DE SODIO,,SOLUCAO,,130,,
"FOSFATO DE SODIO , ENEMA FRASCO 1300 ML",FOSFATO DE SODIO,,SOLUCAO,,1300,,
FOSFATO DE SODIO,FOSFATO DE SODIO,,,,,,
FOSFATO DE SODIO ENEMA FOSFATO MONOBASICO,FOSFATO DE SODIO + FOSFATO MONOBASICO,,SOLUCAO,,,,
FOSFATO DE SODIO ENEMA FOSFATO MONOBASICO 16 % + FOSFATO DIBASICO 6 % 130 ML,FOSFATO DE SODIO + FOSFATO MONOBASICO + FOSFATO DIBASICO,,SOLUCAO,,130,,
FOSFATO DE SODIO DIBASICO + FOSFATO MONO,FOSFATO DE SODIO DIBASICO + FOSFATO MONOBASICO,,,,,,
FOS DE SODIO FOSF MONOB 16 % + FOSF DIB 6 % 130 ML,FOSFATO DE SODIO MONOBASICO + FOSFATO DE SODIO DIBASICO,,SOLUCAO,,130,,
FOSF DE SODIO FOSF MONOB 16 % + FOSF DIB 6 % 130 ML,FOSFATO DE SODIO MONOBASICO + FOSFATO DE SODIO DIBASICO,,SOLUCAO,,130,,
FOSFATO DISS DICO DEXAMETASONA,FOSFATO DISSODICO DE DEXAMETASONA,,,,,,
FOSFATO SODICO DE PREDNISOLONA 60 ML,FOSFATO SODICO DE PREDNISOLONA,,SOLUCAO,,60,,
SULFAMETOXAZOL TRIMETOPRIMA 200 40 MG,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"240,00",,,
FOSFATO SODICO DE PREDNISOLONA,FOSFATO SODICO DE PREDNISOLONA,,,,,,
FOSFATO SODICO MON COM FOSFATO SOD 100 ML,FOSFATO SODICO MONOBASICO + FOSFATO SODICO,,SOLUCAO,,100,,
FOSFO ENEMA,FOSFO ENEMA,,SOLUCAO,,,,
GARGOTRICIN SPRAY 35 ML EXTRA FORTE PREVENT,GARGOTRICIN,,FRASCO,,35,,
FOSTAIR DPI 120 DOSES,FOSTAIR,,PO,,,,120
FOSTAIR DPI 120 DOSES PO INALA,FOSTAIR,,PO,,,,120
FRACAO ACIDA 5000 ML,FRACAO ACIDA,,SOLUCAO,,5000,,
"FRACAO ACIDA CALCIO 3 , 5 MEQ /",FRACAO ACIDA CALCIO,,,,,,
FRACAO BASICA 5000 ML,FRACAO BASICA,,SOLUCAO,,5000,,
"FRACAO BASICA BICARBO SODIO 8 , 4 % 5 L",FRACAO BASICA BICARBONATO DE SODIO,,SOLUCAO,,5000,,
"FRAGIL 0 , 5 INJ 100 ML",FRAGIL,,INJETAVEL,,100,,
FRASCO PARA NUTRICAO ENTERAL COM 300 ML,FRASCO PARA NUTRICAO ENTERAL,,FRASCO,,300,,
GLICOATO CLOREXIDINA SPRAY,GLICOATO CLOREXIDINA,,FRASCO,,,,
FRASCO VIDRO AMBAR 30 ML,FRASCO VIDRO AMBAR,,FRASCO,,30,,
FREE BAC,FREE BAC,,,,,,
FREENAL ADULTO 20 ML,FREENAL,,SOLUCAO,,20,,
FREESTYLE LIBRE,FREESTYLE LIBRE,,,,,,
FRESSTYLE LIBRE,FREESTYLE LIBRE,,,,,,
PASTILHA SANITARIA ADESIVA CX COM 24 X 3 FRESCOR,FRESCOR,,ADESIVO,,,,24
FRESH TEARS COL 10 ML,FRESH TEARS,,GOTAS,,10,,
FRESH TEARS 5 % SOL 10 ML,FRESH TEARS,,SOLUCAO,,10,,
FRESH TEARS SOLUCAO OFTALMICA 10 ML,FRESH TEARS,,SOLUCAO,,10,,
FRESH TEARS SOLUCAO OFTALMICA 10 ML A,FRESH TEARS,,SOLUCAO,,10,,
FRESH TEARS COL 15 ML,FRESH TEARS,,GOTAS,,15,,
FRESH TEARS COL 15 ML NOVO OUTROS,FRESH TEARS,,GOTAS,,15,,
FRESH TEARS 15 ML,FRESH TEARS,,SOLUCAO,,15,,
FRESH TEARS COLIRIO,FRESH TEARS,,GOTAS,,,,
FRESH TEARS,FRESH TEARS,,,,,,
FRESH TEARS FLIB,FRESH TEARS,,,,,,
FRIESOL ESTANKASANGUE 250 ML,FRIESOL ESTANKASANGUE,,SOLUCAO,,250,,
FRIEZOL ESTANKASANGUE,FRIEZOL ESTANKASANGUE,,,,,,
FRISIUM 20 COMPRIMIDOS,FRISIUM,,COMPRIMIDO/CAPSULA,,,,20
FRISIUM,FRISIUM,,,,,,
FRONTAL,FRONTAL,,,,,,
FRONTAL B 1,FRONTAL,,,,,,
SULFAMETOXAZOL TRIMETOPRIMA 400 + 80 MG ENV,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
FUCCINA FENICADA 500 ML SOLUCAO UTILIZADA NA TECNICA DE COLORACAO MICROBIOLOGICA DE ZIEHL PARA IDEN,FUCCINA FENICADA,,SOLUCAO,,500,,
FUMASIL 20 DH 60 COMPRIMIDOS,FUMASIL,,COMPRIMIDO/CAPSULA,,,,60
SULFAMETOXAZOL TRIMETROPIMA 400 80 MG,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"480,00",,,
FUMASIL + ASSOCIACAO,FUMASIL + ASSOCIACAO,,,,,,
FUROSEMIDA INJ 20 ML / ML UND,FUROSEMIDA,,INJETAVEL,,20,,
FUROSEMIDA 10 MG XAROPE 150 ML,FUROSEMIDA,,FRASCO,,150,,
FUROSEMIDA INJ 5 AMP,FUROSEMIDA,,AMPOLA OU FRASCO-AMPOLA,,,,5
FUROSEMIDA AMPOLA 1 CX C 100 UNID,FUROSEMIDA,,AMPOLA OU FRASCO-AMPOLA,,,,100
FUROSEMIDA INJ,FUROSEMIDA,,INJETAVEL,,,,
FUROSEMIDA INJETAVEL,FUROSEMIDA,,INJETAVEL,,,,
FUROSEMIDA XAROPE,FUROSEMIDA,,FRASCO,,,,
FUROSEMIDA,FUROSEMIDA,,,,,,
FUROZEMIDA INJ 20 ML / ML UND,FUROZEMIDA,,INJETAVEL,,20,,
GABALLON 20 COMPRIMIDOS,GABALLON,,COMPRIMIDO/CAPSULA,,,,20
GABALLON COM 20 COMPRIMIDOS,GABALLON,,COMPRIMIDO/CAPSULA,,,,20
GABAPENTINA CPRS,GABAPENTINA,,COMPRIMIDO/CAPSULA,,,,
SULFAMETOXAZOLTRIMETOPRIMA 200,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"200,00",,,
SULFAMETOXAZOLTRIMETOPRIMA 40,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"40,00",,,
"CONTRASTE GADODIAMIDA NAO IONICO 0 , 5 MMOL / ML 10 ML",GADODIAMIDA,,SOLUCAO,,10,,
BROMIDRATO DE GALANTAMINA 30 COMPRIMIDOS C 1,GALANTAMINA,,COMPRIMIDO/CAPSULA,,,,30
SULFAMETOXAZOLTRIMETOPRIMA 400,SULFAMETOXAZOL + TRIMETOPRIMA,,UNIDADE,"400,00",,,
